ticket_id,timestamp,vendor_id,asset_id,description,category,priority
TKT_0236,2026-08-01 03:44:00,VENDOR_05,OT_09,Scheduled inspection completed for OT_09; readings are within normal range.,normal_maintenance,Low
TKT_0022,2026-08-01 04:43:00,VENDOR_05,OT_11,Communication loss from OT_11; field technician assigned to inspect equipment.,equipment_fault,Medium
TKT_0182,2026-08-01 08:35:00,VENDOR_06,OT_02,Unexpected remote login and configuration activity detected on OT_02; verify vendor account.,security_concern,High
TKT_0093,2026-08-01 09:33:00,VENDOR_11,OT_09,Monthly valve and pump maintenance completed on OT_09 during approved window.,normal_maintenance,Low
TKT_0194,2026-08-01 12:52:00,VENDOR_02,OT_11,Repeated sensor alarm on OT_11; possible calibration or hardware fault.,equipment_fault,Medium
TKT_0029,2026-08-01 15:14:00,VENDOR_02,OT_03,Monthly valve and pump maintenance completed on OT_03 during approved window.,equipment_fault,Low
TKT_0151,2026-08-01 18:54:00,VENDOR_05,OT_05,Repeated sensor alarm on OT_05; possible calibration or hardware fault.,equipment_fault,Medium
TKT_0208,2026-08-02 01:52:00,VENDOR_10,OT_15,Monthly valve and pump maintenance completed on OT_15 during approved window.,normal_maintenance,Low
TKT_0004,2026-08-02 03:46:00,VENDOR_05,OT_10,Vendor performed routine firmware check on OT_10; no fault was found.,normal_maintenance,Low
TKT_0037,2026-08-02 04:57:00,VENDOR_02,OT_12,Scheduled inspection completed for OT_12; readings are within normal range.,normal_maintenance,Low
TKT_0176,2026-08-02 13:41:00,VENDOR_03,OT_14,Scheduled inspection completed for OT_14; readings are within normal range.,equipment_fault,Low
TKT_0024,2026-08-02 14:33:00,VENDOR_12,OT_07,Scheduled inspection completed for OT_07; readings are within normal range.,normal_maintenance,Low
TKT_0161,2026-08-02 17:17:00,VENDOR_01,OT_02,Vendor performed routine firmware check on OT_02; no fault was found.,normal_maintenance,Low
TKT_0227,2026-08-02 17:30:00,VENDOR_11,OT_01,New external device accessed OT_01 outside the approved maintenance window.,normal_maintenance,High
TKT_0184,2026-08-02 18:58:00,VENDOR_09,OT_02,Operator reported unstable pressure readings on OT_02; engineering review requested.,equipment_fault,Medium
TKT_0079,2026-08-02 19:53:00,VENDOR_02,OT_09,Multiple failed VPN attempts followed by unusual controller commands for OT_09.,security_concern,High
TKT_0085,2026-08-02 20:17:00,VENDOR_02,OT_06,Scheduled inspection completed for OT_06; readings are within normal range.,normal_maintenance,Low
TKT_0129,2026-08-02 21:24:00,VENDOR_05,OT_15,Vendor performed routine firmware check on OT_15; no fault was found.,normal_maintenance,Low
